,Epoch,Loss,Accuracy (within 5dB)
0,1.0,0.0019469496668083346,5.950782950818513
1,2.0,0.0018651344524785733,6.694151083929429
2,3.0,0.001770601676294979,7.8788208777460484
3,4.0,0.001709283159944577,8.259804224744833
4,5.0,0.0015863495957229338,9.402665911532699
5,6.0,0.0014308031184223893,10.00891935734683
6,7.0,0.0012136265175284162,12.429868847012921
7,8.0,0.0009753105168144543,14.166194707936327
8,9.0,0.0008183607754235069,15.351830875908282
9,10.0,0.000716739616835841,17.023542199737058
10,11.0,0.0006344467718888141,18.098840527722015
11,12.0,0.0005862605743133984,18.97428163610789
12,13.0,0.0005643584540349861,19.40262836099409
13,14.0,0.0005702984472687125,19.63266406492974
14,15.0,0.000571745716598722,20.02336085272414
15,16.0,0.0005501855295687057,20.144969376431337
16,17.0,0.0005425238571227929,20.272967013839803
17,18.0,0.0005392489183190278,20.58716010135995
18,19.0,0.0005259201073418029,20.695592803726427
19,20.0,0.0005297214268876341,20.858689150456613
20,21.0,0.0005226137158208,20.85503901721847
21,22.0,0.0005234640976364493,21.08403655920439
22,23.0,0.0005159104784456686,21.187952152661936
23,24.0,0.0005120015499817805,21.224834512567504
24,25.0,0.000506699164581502,21.346481691240918
25,26.0,0.000499599642012193,21.41020164197461
26,27.0,0.000514414157476415,21.542672211187764
27,28.0,0.0004974952140174354,21.655428747632108
28,29.0,0.0004908935235331234,21.156680284995335
29,30.0,0.0005041589053928915,21.632130847281516
30,31.0,0.0004974254372274786,21.804018437756227
31,32.0,0.0004958266172165307,21.476445209788235
32,33.0,0.0004896613768241403,21.60380227918516
33,34.0,0.0004822800334650107,21.806348780005088
34,35.0,0.00047370294729868573,21.91263337067771
35,36.0,0.0004699151006877359,22.004946952133224
36,37.0,0.00047045606520737065,22.016438521374653
37,38.0,0.00046555066324524476,22.002627654160424
38,39.0,0.0004683378468941068,21.852828615807628
39,40.0,0.0004622341789249668,21.813687701447595
40,41.0,0.00045678538445847485,22.051934824634568
41,42.0,0.00045883412749622574,22.069776852611046
42,43.0,0.0004553223094239403,22.017990242161215
43,44.0,0.0004588109902299631,22.38861405821482
44,45.0,0.00044943871526037667,22.391872119652803
45,46.0,0.0004509979892716494,22.461732687876392
46,47.0,0.0004486564915781966,22.459661886114958
47,48.0,0.00045113209972239406,22.403882769869092
48,49.0,0.0004478354201403162,23.063087997257487
49,50.0,0.00045155025264833427,23.15153055995363
50,51.0,0.0004520551782573501,23.032335210565748
51,52.0,0.0004529283323480933,22.88533589619441
52,53.0,0.0004434683642829188,22.846410345217564
53,54.0,0.00043825860729359716,23.606317281729762
54,55.0,0.00044469522655454563,23.588337200302526
55,56.0,0.00044288263280297746,23.9139500692697
56,57.0,0.0004363751100402036,24.053731949235203
57,58.0,0.0004427281463235077,24.18514779008454
58,59.0,0.00043861780621119327,24.198533452670418
59,60.0,0.00043823018558997824,24.34014316032401
60,61.0,0.000431556591845422,24.16417470984478
61,62.0,0.00043178951968781104,23.194586670177276
62,63.0,0.00043251564581427203,22.60851111672651
63,64.0,0.0004377769617734753,24.86273621497639
64,65.0,0.0004341409990962702,24.703996835152253
65,66.0,0.00043550151161238535,23.86437231403206
66,67.0,0.0004293983038495016,25.205489800390176
67,68.0,0.0004348142015032621,24.13468649276202
68,69.0,0.00042485448118215934,25.511736531284456
69,70.0,0.0004288275052691166,24.48430409574769
70,71.0,0.00042081029968647657,25.603138959964937
71,72.0,0.0004144010865015471,25.485517419915745
72,73.0,0.0004201986062260101,25.192728139401737
73,74.0,0.0004134426831691283,25.86093997391784
74,75.0,0.0004192764004960228,25.206588705858234
